nodeID,source,destination,source_call,destination_call
31997733e8b2ec22,0,1,,nginx-web-server+/wrk2-api/home-timeline/read
7886c008c689bf9,1,2,nginx-web-server+/wrk2-api/home-timeline/read,nginx-web-server+read_home_timeline_client
400c7388e746e775,2,3,nginx-web-server+read_home_timeline_client,home-timeline-service+read_home_timeline_server
e29f6d6905482228,3,4,home-timeline-service+read_home_timeline_server,home-timeline-service+read_home_timeline_redis_find_client
d266b6381362b765,3,5,home-timeline-service+read_home_timeline_server,post-storage-service+post_storage_read_posts_server
e308a14319560093,5,6,post-storage-service+post_storage_read_posts_server,post-storage-service+post_storage_mmc_mget_client
d22cabc940a3b662,5,7,post-storage-service+post_storage_read_posts_server,post-storage-service+mongo_find_client
25468396579277f6,5,8,post-storage-service+post_storage_read_posts_server,post-storage-service+mmc_set_client
b0ec1e8bb892a966,1,1,nginx-web-server+/wrk2-api/home-timeline/read,nginx-web-server+/wrk2-api/home-timeline/read
15629cf7f3e0d1a0,0,9,,nginx-web-server+/wrk2-api/post/compose
316b1607912447e8,9,10,nginx-web-server+/wrk2-api/post/compose,nginx-web-server+compose_post_client
b80cc1fb535d97d9,10,11,nginx-web-server+compose_post_client,compose-post-service+compose_post_server
ca139036670cc34,11,12,compose-post-service+compose_post_server,compose-post-service+compose_text_client
7adee703d3e75754,11,13,compose-post-service+compose_post_server,compose-post-service+compose_unique_id_client
3a09c47b7efba021,11,14,compose-post-service+compose_post_server,compose-post-service+compose_media_client
43cb4feef8774185,11,15,compose-post-service+compose_post_server,compose-post-service+compose_creator_client
5411b5a0b80b109f,11,27,compose-post-service+compose_post_server,compose-post-service+store_post_client
15d84f0999f66301,11,30,compose-post-service+compose_post_server,compose-post-service+write_user_timeline_client
bc202a85e7c5afbd,11,34,compose-post-service+compose_post_server,compose-post-service+write_home_timeline_client
8a6ab83cd8091a54,12,17,compose-post-service+compose_text_client,text-service+compose_text_server
22d6b0ff61c8482,13,16,compose-post-service+compose_unique_id_client,unique-id-service+compose_unique_id_server
1074969c780e86f4,14,18,compose-post-service+compose_media_client,media-service+compose_media_server
b2cdbc0defc256d6,15,21,compose-post-service+compose_creator_client,user-service+compose_creator_server
4ab8fc160a64d6c1,17,19,text-service+compose_text_server,text-service+compose_user_mentions_client
231f9cf13d3ade34,17,20,text-service+compose_text_server,text-service+compose_urls_client
69325e756783200a,19,22,text-service+compose_user_mentions_client,user-mention-service+compose_user_mentions_server
42e8049214a68f2,20,24,text-service+compose_urls_client,url-shorten-service+compose_urls_server
3131ecd5e6ac0333,22,23,user-mention-service+compose_user_mentions_server,user-mention-service+compose_user_mentions_memcached_get_client
62624de8e9a294c0,22,26,user-mention-service+compose_user_mentions_server,user-mention-service+compose_user_mentions_mongo_find_client
9d89fa2ed8db05c1,24,25,url-shorten-service+compose_urls_server,url-shorten-service+url_mongo_insert_client
78255323ca54ed62,27,28,compose-post-service+store_post_client,post-storage-service+store_post_server
f0693b8babe2b307,28,29,post-storage-service+store_post_server,post-storage-service+post_storage_mongo_insert_client
961024481bcefba0,30,31,compose-post-service+write_user_timeline_client,user-timeline-service+write_user_timeline_server
632083763f02e83,31,32,user-timeline-service+write_user_timeline_server,user-timeline-service+write_user_timeline_mongo_insert_client
f07cbacefabfd12c,31,33,user-timeline-service+write_user_timeline_server,user-timeline-service+write_user_timeline_redis_update_client
129896f6d9469114,34,35,compose-post-service+write_home_timeline_client,home-timeline-service+write_home_timeline_server
a71f8b9189c3ce89,35,36,home-timeline-service+write_home_timeline_server,home-timeline-service+get_followers_client
f25301158471650f,35,39,home-timeline-service+write_home_timeline_server,home-timeline-service+write_home_timeline_redis_update_client
3d2092300dc5a4cd,36,37,home-timeline-service+get_followers_client,social-graph-service+get_followers_server
542bd90b62b0f6e9,37,38,social-graph-service+get_followers_server,social-graph-service+social_graph_redis_get_client
8476de28b98ca321,9,9,nginx-web-server+/wrk2-api/post/compose,nginx-web-server+/wrk2-api/post/compose
27a31e31537147eb,0,40,,nginx-web-server+/wrk2-api/user-timeline/read
1019804efa8f2317,40,41,nginx-web-server+/wrk2-api/user-timeline/read,nginx-web-server+ReadUserTimeline
d728e20aed4b7035,41,42,nginx-web-server+ReadUserTimeline,user-timeline-service+read_user_timeline_server
67d41741f77f9dad,42,43,user-timeline-service+read_user_timeline_server,user-timeline-service+read_user_timeline_redis_find_client
623d05bf3b15bd77,42,44,user-timeline-service+read_user_timeline_server,user-timeline-service+user_timeline_mongo_find_client
31237a353533431d,42,45,user-timeline-service+read_user_timeline_server,user-timeline-service+user_timeline_redis_update_client
4acf2206e8cb6cae,42,5,user-timeline-service+read_user_timeline_server,post-storage-service+post_storage_read_posts_server
bb6854e2860a99ae,40,40,nginx-web-server+/wrk2-api/user-timeline/read,nginx-web-server+/wrk2-api/user-timeline/read
158ddca80547f66f,0,46,,nginx-web-server+/api/user/login
5ac6664d7986ae3b,46,47,nginx-web-server+/api/user/login,nginx-web-server+Login
d8d0a5e6b82aad51,47,48,nginx-web-server+Login,user-service+login_server
c3872fa71268c51e,48,49,user-service+login_server,user-service+user_mmc_get_client
81a5841a0278d9b,48,50,user-service+login_server,user-service+user_mongo_find_client
788d7f2374126fc0,46,46,nginx-web-server+/api/user/login,nginx-web-server+/api/user/login
10420d06c7b485d6,0,51,,nginx-web-server+/wrk2-api/user/register
4b06fff9d4ede317,51,52,nginx-web-server+/wrk2-api/user/register,nginx-web-server+register_client
39d6dc005b5d23c8,52,53,nginx-web-server+register_client,user-service+register_user_withid_server
d7a90d770716e840,51,51,nginx-web-server+/wrk2-api/user/register,nginx-web-server+/wrk2-api/user/register
52351a03ee69602d,53,54,user-service+register_user_withid_server,user-service+user_mongo_insert_cilent
2c3b2ec00a115e48,53,55,user-service+register_user_withid_server,social-graph-service+insert_user_server
aece4ec9afe22216,55,56,social-graph-service+insert_user_server,social-graph-service+social_graph_mongo_insert_client
